,Language,Global Speakers,Size,Status,Global Speakers Category
0,Abaza,49800.0,0,0,0
1,Abruzzese,31136914.044585988,1,0,1
2,Abruzzese,31136914.044585988,1,1,1
3,Acehnese,3500000.0,0,2,0
4,Acehnese,3500000.0,0,0,0
5,Adjoukrou,140000.0,0,0,0
6,Adyghe,117500.0,1,0,0
7,Afenmai,270000.0,0,0,0
8,African-American English,45109521.0,4,0,1
9,African-American English,45109521.0,4,0,1
10,African-American English,45109521.0,4,0,1
11,African-American English,45109521.0,4,0,1
12,African-American English,45109521.0,4,0,1
13,African-American English,45109521.0,4,0,1
14,African-American English,45109521.0,3,0,1
15,Afrikaans,17543580.0,1,2,0
16,Akan,9231300.0,1,0,0
17,Akan,9231300.0,1,0,0
18,Akan,9231300.0,3,0,0
19,Akan,9231300.0,2,1,0
20,Aklanon,525600.0,0,0,0
21,Algerian Arabic,32387600.0,2,0,1
22,Algerian Arabic,32387600.0,2,0,1
23,Alsatian,500000.0,1,0,0
24,Amdo Tibetan,1800000.0,2,0,0
25,Amdo Tibetan,1800000.0,1,2,0
26,American Sign Language,271700.0,3,0,0
27,American Sign Language,271700.0,3,0,0
28,American Sign Language,271700.0,3,0,0
29,American Sign Language,271700.0,3,0,0
30,American Sign Language,271700.0,3,0,0
31,Amharic,25880630.0,1,0,0
32,Amharic,25880630.0,1,0,0
33,Amharic,25880630.0,1,0,0
34,Amuzgo,45900.0,0,0,0
35,Anaang,2550000.0,1,0,0
36,Ancient Greek,31136914.044585988,0,3,1
37,Antigua and Barbuda Creole,150000.0,1,2,0
38,Ao,31136914.044585988,0,0,1
39,Appolo,412000.0,0,0,0
40,Apulo-Lucano,31136914.044585988,1,1,1
41,Arbëresh,380000.0,1,0,0
42,Arbëresh,380000.0,1,1,0
43,Arbëresh,380000.0,1,1,0
44,Argentine Spanish,45000000.0,2,0,1
45,Aromanian,181120.0,1,0,0
46,Aromanian,181120.0,2,0,0
47,Ashanti,3800000.0,2,0,0
48,Ashanti,3800000.0,1,0,0
49,Ashanti,3800000.0,1,0,0
50,Assamese,15329040.0,0,0,0
51,Assyrian Neo-Aramaic,587320.0,1,0,0
52,Asturian,560000.0,0,0,0
53,Australian English,24000000.0,2,0,0
54,Austrian German,8859000.0,2,2,0
55,Austrian German,8859000.0,1,0,0
56,Avar,766500.0,0,0,0
57,Avestan,31136914.044585988,2,4,1
58,Aymara,1677100.0,0,0,0
59,Azeri,9197760.0,1,2,0
60,Azeri,9197760.0,2,0,0
61,Azeri,9197760.0,2,0,0
62,Bafut,100000.0,0,0,0
63,Bahamian Creole,250000.0,1,2,0
64,Bahing,15250.0,0,0,0
65,Balanta-Ganja,96000.0,0,0,0
66,Balinese,3300000.0,1,0,0
67,Balkan Romani,809940.0,1,0,0
68,Balochi,4086000.0,0,0,0
69,Balti,392800.0,0,0,0
70,Balti,392800.0,1,0,0
71,Bambara,14102320.0,1,0,0
72,Bambara,14102320.0,2,0,0
73,Bambara,14102320.0,3,0,0
74,Banguingui,84000.0,0,0,0
75,Banjarese,3655000.0,0,0,0
76,Bantawa,195100.0,1,0,0
77,Baoulé,4650000.0,0,0,0
78,Baoulé,4650000.0,1,0,0
79,Baoulé,4650000.0,0,0,0
80,Baragaun,7500.0,0,0,0
81,Baragaun,7500.0,1,0,0
82,Baragaun,7500.0,1,0,0
83,Barbadian Creole,260000.0,2,0,0
84,Barbadian Creole,260000.0,1,0,0
85,Bartangi,80000.0,0,0,0
86,Basaa,300000.0,1,0,0
87,Basque,537860.0,1,1,0
88,Basque,537860.0,1,2,0
